match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,player_of_match_id,venue,venue_id,umpire1,umpire2
2008_1,2008,Bangalore,18-04-2008,KKR,RCB,RCB,field,normal,0,KKR,140,0,Brendon McCullum,82,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,Asad Rauf,RE Koertzen
2008_2,2008,Chandigarh,19-04-2008,CSK,KXI,CSK,bat,normal,0,CSK,33,0,Michael Hussey,18,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,MR Benson,SL Shastri
2008_3,2008,Delhi,19-04-2008,RR,DD,RR,bat,normal,0,DD,0,9,Farveez Maharoof,60,"Feroz Shah Kotla Stadium, Delhi",2,Aleem Dar,GA Pratapkumar
2008_4,2008,Mumbai,20-04-2008,MI,RCB,MI,bat,normal,0,RCB,0,5,Mark Boucher,145,"Wankhede Stadium, Mumbai, Maharashtra",1,SJ Davis,DJ Harper
2008_5,2008,Kolkata,20-04-2008,DC,KKR,DC,bat,normal,0,KKR,0,5,David Hussey,80,"Eden Garden Stadium, Kolkata, West Bengal",3,BF Bowden,K Hariharan
2008_6,2008,Jaipur,21-04-2008,KXI,RR,KXI,bat,normal,0,RR,0,6,Shane Watson,175,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,Aleem Dar,RB Tiffin
2008_7,2008,Hyderabad,22-04-2008,DC,DD,DC,bat,normal,0,DD,0,9,Virender Sehwag,46,"Rajiv Gandhi International Stadium, Hyderabad",4,IL Howell,AM Saheba
2008_8,2008,Chennai,23-04-2008,CSK,MI,MI,field,normal,0,CSK,6,0,Matthew Hayden,6,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,DJ Harper,GA Pratapkumar
2008_9,2008,Hyderabad,24-04-2008,DC,RR,RR,field,normal,0,RR,0,3,Yusuf Pathan,171,"Rajiv Gandhi International Stadium, Hyderabad",4,Asad Rauf,MR Benson
2008_10,2008,Chandigarh,25-04-2008,KXI,MI,MI,field,normal,0,KXI,66,0,Kumar Sangakkara,98,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,Aleem Dar,AM Saheba
2008_11,2008,Bangalore,26-04-2008,RCB,RR,RR,field,normal,0,RR,0,7,Shane Watson,175,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,MR Benson,IL Howell
