player_id,Season,Player,Team
1,2008,Mahendra Singh Dhoni,CSK
1,2009,Mahendra Singh Dhoni,CSK
1,2010,Mahendra Singh Dhoni,CSK
1,2011,Mahendra Singh Dhoni,CSK
1,2012,Mahendra Singh Dhoni,CSK
1,2013,Mahendra Singh Dhoni,CSK
1,2014,Mahendra Singh Dhoni,CSK
1,2015,Mahendra Singh Dhoni,CSK
1,2016,Mahendra Singh Dhoni,RPS
1,2017,Mahendra Singh Dhoni,RPS
1,2018,Mahendra Singh Dhoni,CSK
2,2008,Srikkanth Anirudha,CSK
2,2010,Srikkanth Anirudha,CSK
2,2011,Srikkanth Anirudha,CSK
2,2012,Srikkanth Anirudha,CSK
2,2013,Srikkanth Anirudha,CSK
2,2014,Srikkanth Anirudha,SRH
3,2008,Ravichandran Ashwin,CSK
3,2009,Ravichandran Ashwin,CSK
3,2010,Ravichandran Ashwin,CSK
3,2011,Ravichandran Ashwin,CSK
3,2012,Ravichandran Ashwin,CSK
3,2013,Ravichandran Ashwin,CSK
3,2014,Ravichandran Ashwin,CSK
3,2015,Ravichandran Ashwin,CSK
3,2016,Ravichandran Ashwin,RPS
3,2018,Ravichandran Ashwin,KXI
4,2008,Lakshmipathy Balaji,CSK
4,2009,Lakshmipathy Balaji,CSK
4,2010,Lakshmipathy Balaji,CSK
4,2011,Lakshmipathy Balaji,KKR
4,2012,Lakshmipathy Balaji,KKR
4,2013,Lakshmipathy Balaji,KKR
4,2014,Lakshmipathy Balaji,KXI
5,2008,Stephen Fleming,CSK
6,2008,Matthew Hayden,CSK
6,2009,Matthew Hayden,CSK
6,2010,Matthew Hayden,CSK
7,2008,Shadab Jakati,CSK
7,2009,Shadab Jakati,CSK
7,2010,Shadab Jakati,CSK
7,2011,Shadab Jakati,CSK
7,2012,Shadab Jakati,CSK
7,2013,Shadab Jakati,CSK
7,2014,Shadab Jakati,RCB
7,2016,Shadab Jakati,GL
7,2017,Shadab Jakati,GL
8,2008,Viraj Kadbe,CSK
8,2009,Viraj Kadbe,CSK
9,2008,Suresh Kumar,CSK
10,2008,Abhinav Mukund,CSK
10,2011,Abhinav Mukund,CSK
10,2012,Abhinav Mukund,CSK
10,2013,Abhinav Mukund,RCB
11,2008,Makhaya Ntini,CSK
11,2009,Makhaya Ntini,CSK
11,2010,Makhaya Ntini,CSK
12,2008,Parthiv Patel,CSK
12,2009,Parthiv Patel,CSK
12,2010,Parthiv Patel,CSK
12,2011,Parthiv Patel,KTK
12,2012,Parthiv Patel,DC
12,2013,Parthiv Patel,SRH
12,2014,Parthiv Patel,RCB
12,2015,Parthiv Patel,MI
12,2016,Parthiv Patel,MI
12,2017,Parthiv Patel,MI
12,2018,Parthiv Patel,RCB
13,2008,Vidyut Sivaramakrishnan,CSK
14,2008,Palani Amarnath,CSK
14,2009,Palani Amarnath,CSK
15,2008,Arun Karthik,CSK
15,2009,Arun Karthik,CSK
15,2010,Arun Karthik,CSK
15,2011,Arun Karthik,RCB
15,2012,Arun Karthik,RCB
15,2013,Arun Karthik,RCB
16,2008,S Badrinath,CSK
16,2009,S Badrinath,CSK
16,2010,S Badrinath,CSK
16,2011,S Badrinath,CSK
16,2012,S Badrinath,CSK
16,2013,S Badrinath,CSK
16,2015,S Badrinath,RCB
17,2008,Manpreet Gony,CSK
17,2009,Manpreet Gony,CSK
17,2010,Manpreet Gony,CSK
17,2011,Manpreet Gony,DC
17,2012,Manpreet Gony,DC
17,2013,Manpreet Gony,KXI
17,2017,Manpreet Gony,GL
18,2008,Michael Hussey,CSK
18,2010,Michael Hussey,CSK
18,2011,Michael Hussey,CSK
18,2012,Michael Hussey,CSK
18,2013,Michael Hussey,CSK
18,2014,Michael Hussey,MI
18,2015,Michael Hussey,CSK
19,2008,Joginder Sharma,CSK
19,2009,Joginder Sharma,CSK
19,2010,Joginder Sharma,CSK
19,2011,Joginder Sharma,CSK
19,2012,Joginder Sharma,CSK
20,2008,Chamara Kapugedera,CSK
21,2008,Albie Morkel,CSK
21,2009,Albie Morkel,CSK
21,2010,Albie Morkel,CSK
21,2011,Albie Morkel,CSK
21,2012,Albie Morkel,CSK
21,2013,Albie Morkel,CSK
21,2014,Albie Morkel,RCB
21,2015,Albie Morkel,DD
21,2016,Albie Morkel,RPS
22,2008,Muttiah Muralitharan,CSK
22,2009,Muttiah Muralitharan,CSK
22,2010,Muttiah Muralitharan,CSK
22,2011,Muttiah Muralitharan,KTK
22,2012,Muttiah Muralitharan,RCB
22,2013,Muttiah Muralitharan,RCB
22,2014,Muttiah Muralitharan,RCB
23,2008,Jacob Oram,CSK
23,2009,Jacob Oram,CSK
23,2011,Jacob Oram,RR
23,2013,Jacob Oram,MI
24,2008,Suresh Raina,CSK
24,2009,Suresh Raina,CSK
24,2010,Suresh Raina,CSK
24,2011,Suresh Raina,CSK
24,2012,Suresh Raina,CSK
24,2013,Suresh Raina,CSK
24,2014,Suresh Raina,CSK
24,2015,Suresh Raina,CSK
24,2016,Suresh Raina,GL
24,2017,Suresh Raina,GL
24,2018,Suresh Raina,CSK
25,2008,Napoleon Einstein,CSK
26,2008,VVS Laxman,DC
26,2009,VVS Laxman,DC
26,2010,VVS Laxman,DC
26,2011,VVS Laxman,KTK
27,2008,Halhadar Das,DC
27,2009,Halhadar Das,DC
28,2008,Adam Gilchrist,DC
28,2009,Adam Gilchrist,DC
28,2010,Adam Gilchrist,DC
28,2011,Adam Gilchrist,KXI
28,2012,Adam Gilchrist,KXI
28,2013,Adam Gilchrist,KXI
29,2008,Pragyan Ojha,DC
29,2009,Pragyan Ojha,DC
29,2010,Pragyan Ojha,DC
29,2011,Pragyan Ojha,DC
29,2012,Pragyan Ojha,MI
29,2013,Pragyan Ojha,MI
29,2014,Pragyan Ojha,MI
29,2015,Pragyan Ojha,MI
30,2008,Rohit Sharma,DC
30,2009,Rohit Sharma,DC
30,2010,Rohit Sharma,DC
30,2011,Rohit Sharma,MI
30,2012,Rohit Sharma,MI
30,2013,Rohit Sharma,MI
30,2014,Rohit Sharma,MI
30,2015,Rohit Sharma,MI
30,2016,Rohit Sharma,MI
30,2017,Rohit Sharma,MI
30,2018,Rohit Sharma,MI
